province,year,population,province_norm,atur_annual_mean_pct,n_quarters
Melilla,2013,83669,melilla,32.4075,4
Albacete,2014,396017,albacete,27.5175,4
Alacant,2014,1848236,alacant,26.03,4
Almeria,2014,690750,almeria,35.597500000000004,4
Araba,2014,320451,araba,17.197499999999998,4
Asturias,2014,1058560,asturias,21.1275,4
Avila,2014,167265,avila,26.0425,4
Badajoz,2014,688697,badajoz,31.27,4
Illes Balears,2014,1106617,illes balears,20.14,4
Barcelona,2014,5459762,barcelona,19.975,4
Bizkaia,2014,1143121,bizkaia,17.315,4
Burgos,2014,365542,burgos,18.225,4
Caceres,2014,408011,caceres,27.315,4
Cadiz,2014,1245504,cadiz,42.3075,4
Cantabria,2014,587491,cantabria,19.4175,4
Castello,2014,580349,castello,27.0825,4
Ciudad Real,2014,518032,ciudad real,33.0325,4
Cordoba,2014,796830,cordoba,33.64,4
A Coruna,2014,1132596,a coruna,19.955,4
Cuenca,2014,208031,cuenca,28.0025,4
Gipuzkoa,2014,708675,gipuzkoa,14.26,4
Girona,2014,745189,girona,22.53,4
Granada,2014,919381,granada,35.915,4
Guadalajara,2014,255075,guadalajara,23.265,4
Huelva,2014,520453,huelva,31.9525,4
Huesca,2014,223702,huesca,17.205,4
Jaen,2014,656162,jaen,33.2825,4
Leon,2014,483681,leon,24.33,4
Lleida,2014,432397,lleida,15.045,4
Lugo,2014,341495,lugo,18.9475,4
Madrid,2014,6372553,madrid,18.7475,4
Malaga,2014,1618101,malaga,32.6275,4
Murcia,2014,1462734,murcia,26.585,4
Navarra,2014,637099,navarra,15.71,4
Ourense,2014,321472,ourense,21.345,4
Palencia,2014,167237,palencia,22.3125,4
Las Palmas,2014,1094856,las palmas,33.1225,4
Pontevedra,2014,950254,pontevedra,24.7075,4
La Rioja,2014,315736,la rioja,18.16,4
Salamanca,2014,344104,salamanca,21.085,4
Santa Cruz de Tenerife,2014,1003299,santa cruz de tenerife,31.6525,4
Segovia,2014,158798,segovia,14.38,4
Sevilla,2014,1934058,sevilla,32.7775,4
Soria,2014,92374,soria,17.035,4
Tarragona,2014,795485,tarragona,23.4625,4
Teruel,2014,139470,teruel,20.0325,4
Toledo,2014,697605,toledo,29.43,4
Valencia,2014,2531628,valencia,25.3775,4
Valladolid,2014,528486,valladolid,18.1475,4
Zamora,2014,186117,zamora,26.2725,4
Zaragoza,2014,967541,zaragoza,20.85,4
Ceuta,2014,84562,ceuta,31.8425,4
Melilla,2014,84103,melilla,28.4,4
Albacete,2015,394012,albacete,24.6825,4
Alacant,2015,1838578,alacant,24.22,4
Almeria,2015,694051,almeria,28.99,4
Araba,2015,321541,araba,15.0125,4
Asturias,2015,1049328,asturias,19.11,4
Avila,2015,165694,avila,22.985,4
Badajoz,2015,686250,badajoz,30.2525,4
Illes Balears,2015,1111002,illes balears,17.41,4
Barcelona,2015,5453143,barcelona,18.235,4
Bizkaia,2015,1141400,bizkaia,15.985,4
Burgos,2015,363328,burgos,17.884999999999998,4
Caceres,2015,405967,caceres,27.115,4
Cadiz,2015,1245567,cadiz,38.32,4
Cantabria,2015,585184,cantabria,17.6475,4
Castello,2015,577738,castello,22.5025,4
Ciudad Real,2015,514152,ciudad real,31.29,4
Cordoba,2015,794359,cordoba,29.9875,4
A Coruna,2015,1127596,a coruna,17.4075,4
Cuenca,2015,205664,cuenca,22.615,4
Gipuzkoa,2015,709766,gipuzkoa,12.67,4
Girona,2015,743431,girona,19.7225,4
Granada,2015,917546,granada,30.942500000000003,4
Guadalajara,2015,254458,guadalajara,19.295,4
Huelva,2015,520840,huelva,29.7625,4
Huesca,2015,222677,huesca,14.4725,4
Jaen,2015,652317,jaen,34.0625,4
Leon,2015,479104,leon,21.2475,4
Lleida,2015,431044,lleida,15.0375,4
Lugo,2015,338430,lugo,15.9575,4
Madrid,2015,6375737,madrid,17.0575,4
Malaga,2015,1629179,malaga,29.5675,4
Murcia,2015,1465195,murcia,24.615,4
Navarra,2015,637317,navarra,13.8275,4
Ourense,2015,318288,ourense,20.3425,4
Palencia,2015,165820,palencia,20.31,4
Las Palmas,2015,1097578,las palmas,29.8675,4
Pontevedra,2015,948487,pontevedra,22.465,4
La Rioja,2015,314457,la rioja,15.3825,4
Salamanca,2015,341635,salamanca,15.955,4
Santa Cruz de Tenerife,2015,1003741,santa cruz de tenerife,28.29,4
Segovia,2015,157578,segovia,14.815,4
Sevilla,2015,1935135,sevilla,30.5,4
Soria,2015,91454,soria,14.0775,4
Tarragona,2015,793272,tarragona,21.935,4
Teruel,2015,137871,teruel,17.025,4
Toledo,2015,694329,toledo,27.685,4
Valencia,2015,2528776,valencia,21.8075,4
Valladolid,2015,527199,valladolid,16.0875,4
Zamora,2015,183885,zamora,21.9275,4
Zaragoza,2015,965052,zaragoza,16.605,4
Ceuta,2015,84561,ceuta,27.5475,4
Melilla,2015,85009,melilla,33.9475,4
Albacete,2016,391865,albacete,23.8275,4
Alacant,2016,1837873,alacant,20.795,4
Almeria,2016,700055,almeria,23.5825,4
Araba,2016,322974,araba,11.9875,4
Asturias,2016,1040407,asturias,17.6075,4
Avila,2016,163669,avila,21.2325,4
Badajoz,2016,682970,badajoz,29.74,4
Illes Balears,2016,1117353,illes balears,13.9575,4
Barcelona,2016,5472926,barcelona,15.4975,4
Bizkaia,2016,1140191,bizkaia,14.21,4
Burgos,2016,360572,burgos,11.7325,4
Caceres,2016,403183,caceres,23.545,4
Cadiz,2016,1244475,cadiz,34.3925,4
Cantabria,2016,582494,cantabria,14.9075,4
Castello,2016,575546,castello,19.4975,4
Ciudad Real,2016,508629,ciudad real,26.2325,4
Cordoba,2016,790749,cordoba,30.245,4
A Coruna,2016,1123015,a coruna,15.4125,4
Cuenca,2016,202864,cuenca,18.015,4
Gipuzkoa,2016,711261,gipuzkoa,10.2575,4
Girona,2016,745797,girona,16.14,4
Granada,2016,915706,granada,29.9375,4
Guadalajara,2016,254191,guadalajara,17.7875,4
Huelva,2016,520086,huelva,29.035,4
Huesca,2016,221495,huesca,12.54,4
Jaen,2016,647007,jaen,32.0925,4
Leon,2016,473574,leon,19.2175,4
Lleida,2016,429806,lleida,11.6275,4
Lugo,2016,335752,lugo,14.785,4
Madrid,2016,6411466,madrid,15.7125,4
Malaga,2016,1638378,malaga,26.0575,4
Murcia,2016,1468367,murcia,19.7825,4
Navarra,2016,638922,navarra,12.485,4
Ourense,2016,314476,ourense,19.54,4
Palencia,2016,164421,palencia,15.2125,4
Las Palmas,2016,1099894,las palmas,26.295,4
Pontevedra,2016,945852,pontevedra,19.3875,4
La Rioja,2016,314025,la rioja,13.535,4
Salamanca,2016,338308,salamanca,16.4775,4
Santa Cruz de Tenerife,2016,1003542,santa cruz de tenerife,25.8175,4
Segovia,2016,155991,segovia,14.16,4
Sevilla,2016,1935590,sevilla,27.6375,4
Soria,2016,90460,soria,13.2075,4
Tarragona,2016,792163,tarragona,19.06,4
Teruel,2016,136377,teruel,13.445,4
Toledo,2016,691787,toledo,25.4,4
Valencia,2016,2526469,valencia,20.7225,4
Valladolid,2016,524669,valladolid,14.1,4
Zamora,2016,181057,zamora,18.887500000000003,4
Zaragoza,2016,960170,zaragoza,15.4125,4
Ceuta,2016,84558,ceuta,24.880000000000003,4
Melilla,2016,85457,melilla,30.7775,4
Albacete,2017,390225,albacete,23.155,4
Alacant,2017,1836715,alacant,18.1075,4
Almeria,2017,704871,almeria,24.37,4
Araba,2017,325250,araba,11.2675,4
Asturias,2017,1033550,asturias,13.7125,4
Avila,2017,161782,avila,17.965,4
Badajoz,2017,679042,badajoz,28.1525,4
Illes Balears,2017,1128492,illes balears,12.5275,4
Barcelona,2017,5507412,barcelona,13.1025,4
Bizkaia,2017,1141564,bizkaia,12.7,4
Burgos,2017,358416,burgos,10.5525,4
Caceres,2017,400066,caceres,22.79,4
Cadiz,2017,1244090,cadiz,30.28,4
Cantabria,2017,581421,cantabria,13.565,4
Castello,2017,575433,castello,16.7225,4
Ciudad Real,2017,504403,ciudad real,24.4125,4
Cordoba,2017,787735,cordoba,28.17,4
A Coruna,2017,1120302,a coruna,14.1625,4
Cuenca,2017,200531,cuenca,15.9025,4
Gipuzkoa,2017,713130,gipuzkoa,9.015,4
Girona,2017,750468,girona,13.9625,4
Granada,2017,914780,granada,25.7725,4
Guadalajara,2017,255242,guadalajara,13.9075,4
Huelva,2017,519144,huelva,24.0325,4
Huesca,2017,220749,huesca,9.0475,4
Jaen,2017,642515,jaen,26.755000000000003,4
Leon,2017,468637,leon,16.4025,4
Lleida,2017,429821,lleida,11.67,4
Lugo,2017,333152,lugo,12.66,4
Madrid,2017,6459297,madrid,13.3425,4
Malaga,2017,1644147,malaga,22.4375,4
Murcia,2017,1475275,murcia,18.0325,4
Navarra,2017,642075,navarra,10.2375,4
Ourense,2017,311385,ourense,16.47,4
Palencia,2017,163221,palencia,13.6275,4
Las Palmas,2017,1105579,las palmas,24.56,4
Pontevedra,2017,944116,pontevedra,18.3125,4
La Rioja,2017,314136,la rioja,11.9925,4
Salamanca,2017,335783,salamanca,14.56,4
Santa Cruz de Tenerife,2017,1009654,santa cruz de tenerife,22.2575,4
Segovia,2017,154854,segovia,11.9225,4
Sevilla,2017,1936735,sevilla,24.2725,4
Soria,2017,89614,soria,10.84,4
Tarragona,2017,793077,tarragona,16.0875,4
Teruel,2017,135324,teruel,12.155,4
Toledo,2017,691021,toledo,20.9125,4
Valencia,2017,2531673,valencia,18.54,4
Valladolid,2017,522985,valladolid,13.825,4
Zamora,2017,178243,zamora,16.252499999999998,4
Zaragoza,2017,959338,zaragoza,12.17,4
Ceuta,2017,85005,ceuta,22.37,4
Melilla,2017,85918,melilla,27.615,4
Albacete,2018,388948,albacete,19.7325,4
Alacant,2018,1839319,alacant,16.1675,4
Almeria,2018,707319,almeria,22.5775,4
Araba,2018,327763,araba,9.1125,4
Asturias,2018,1027091,asturias,13.6075,4
Avila,2018,160104,avila,16.4225,4
Badajoz,2018,675742,badajoz,25.450000000000003,4
Illes Balears,2018,1141233,illes balears,11.6775,4
Barcelona,2018,5556273,barcelona,11.0875,4
Bizkaia,2018,1143742,bizkaia,11.6475,4
Burgos,2018,357165,burgos,10.39,4
Caceres,2018,396979,caceres,20.4825,4
Cadiz,2018,1243737,cadiz,27.545,4
Cantabria,2018,581533,cantabria,10.675,4
Castello,2018,576342,castello,15.525,4
Ciudad Real,2018,499168,ciudad real,20.1125,4
Cordoba,2018,784079,cordoba,24.7375,4
A Coruna,2018,1120074,a coruna,12.23,4
Cuenca,2018,198922,cuenca,15.4,4
Gipuzkoa,2018,715749,gipuzkoa,7.6975,4
Girona,2018,756522,girona,11.3975,4
Granada,2018,915140,granada,23.9975,4
Guadalajara,2018,256247,guadalajara,11.4475,4
Huelva,2018,520445,huelva,22.9175,4
Huesca,2018,220653,huesca,9.51,4
Jaen,2018,637669,jaen,23.0125,4
Leon,2018,464276,leon,11.765,4
Lleida,2018,430650,lleida,10.545,4
Lugo,2018,331128,lugo,9.1875,4
Madrid,2018,6529923,madrid,12.22,4
Malaga,2018,1650068,malaga,19.19,4
Murcia,2018,1478718,murcia,16.7625,4
Navarra,2018,646340,navarra,10.0275,4
Ourense,2018,309290,ourense,13.75,4
Palencia,2018,162064,palencia,12.02,4
Las Palmas,2018,1111873,las palmas,20.235,4
Pontevedra,2018,942556,pontevedra,16.0175,4
La Rioja,2018,314890,la rioja,10.4025,4
Salamanca,2018,333500,salamanca,13.0975,4
Santa Cruz de Tenerife,2018,1019708,santa cruz de tenerife,19.9025,4
Segovia,2018,153983,segovia,11.82,4
Sevilla,2018,1938007,sevilla,22.44,4
Soria,2018,89329,soria,8.067499999999999,4
Tarragona,2018,795919,tarragona,14.965,4
Teruel,2018,134449,teruel,9.16,4
Toledo,2018,691124,toledo,19.4675,4
Valencia,2018,2542923,valencia,15.1925,4
Valladolid,2018,520930,valladolid,10.99,4
Zamora,2018,175662,zamora,17.119999999999997,4
Zaragoza,2018,958391,zaragoza,11.08,4
Ceuta,2018,85327,ceuta,28.9275,4
Melilla,2018,86084,melilla,25.765,4
Albacete,2019,387818,albacete,17.185000000000002,4
Alacant,2019,1855384,alacant,14.85,4
Almeria,2019,714123,almeria,17.615000000000002,4
Araba,2019,330104,araba,8.28,4
Asturias,2019,1021469,asturias,14.1925,4
Avila,2019,159237,avila,14.7025,4
Badajoz,2019,673384,badajoz,22.44,4
Illes Balears,2019,1157928,illes balears,11.82,4
Barcelona,2019,5622704,barcelona,10.9,4
Bizkaia,2019,1147589,bizkaia,10.605,4
Burgos,2019,356607,burgos,9.96,4
Caceres,2019,394541,caceres,19.945,4
Cadiz,2019,1243186,cadiz,24.9025,4
Cantabria,2019,581989,cantabria,10.28,4
Castello,2019,579592,castello,13.7525,4
Ciudad Real,2019,495686,ciudad real,18.26,4
Cordoba,2019,780982,cordoba,23.06,4
A Coruna,2019,1120432,a coruna,10.2025,4
Cuenca,2019,197617,cuenca,13.065,4
Gipuzkoa,2019,719613,gipuzkoa,7.22,4
Girona,2019,765476,girona,10.3325,4
Granada,2019,916879,granada,22.21,4
Guadalajara,2019,259266,guadalajara,12.145,4
Huelva,2019,522138,huelva,21.9425,4
Huesca,2019,220996,huesca,9.0225,4
Jaen,2019,633375,jaen,22.29,4
Leon,2019,460247,leon,12.6875,4
Lleida,2019,432917,lleida,9.675,4
Lugo,2019,329070,lugo,8.8625,4
Madrid,2019,6618078,madrid,10.6225,4
Malaga,2019,1660348,malaga,17.6425,4
Murcia,2019,1491312,murcia,14.68,4
Navarra,2019,652797,navarra,8.2425,4
Ourense,2019,307764,ourense,12.9325,4
Palencia,2019,161053,palencia,10.49,4
Las Palmas,2019,1121686,las palmas,22.22,4
Pontevedra,2019,942944,pontevedra,14.2925,4
La Rioja,2019,315967,la rioja,9.96,4
Salamanca,2019,332044,salamanca,13.4,4
Santa Cruz de Tenerife,2019,1031630,santa cruz de tenerife,18.6925,4
Segovia,2019,153571,segovia,9.8325,4
Sevilla,2019,1941191,sevilla,21.5025,4
Soria,2019,89008,soria,7.48,4
Tarragona,2019,803528,tarragona,13.455,4
Teruel,2019,134025,teruel,9.77,4
Toledo,2019,696390,toledo,16.86,4
Valencia,2019,2554332,valencia,13.65,4
Valladolid,2019,520483,valladolid,10.8675,4
Zamora,2019,173318,zamora,14.05,4
Zaragoza,2019,965673,zaragoza,10.2875,4
Ceuta,2019,85087,ceuta,25.815,4
Melilla,2019,86373,melilla,26.9825,4
Albacete,2020,387838,albacete,18.2625,4
Alacant,2020,1877627,alacant,18.0275,4
Almeria,2020,724003,almeria,21.905,4
Araba,2020,332874,araba,7.8575,4
Asturias,2020,1018053,asturias,14.12,4
Avila,2020,158819,avila,14.43,4
Badajoz,2020,672045,badajoz,22.59,4
Illes Balears,2020,1176816,illes balears,16.1875,4
Barcelona,2020,5690371,barcelona,12.5225,4
Bizkaia,2020,1154696,bizkaia,11.2575,4
Burgos,2020,357121,burgos,11.1275,4
Caceres,2020,392925,caceres,20.4075,4
Cadiz,2020,1247160,cadiz,22.9325,4
Cantabria,2020,583011,cantabria,12.165,4
Castello,2020,584201,castello,14.285,4
Ciudad Real,2020,494817,ciudad real,17.8975,4
Cordoba,2020,780825,cordoba,24.255,4
A Coruna,2020,1121994,a coruna,11.2325,4
Cuenca,2020,197537,cuenca,15.6525,4
Gipuzkoa,2020,724347,gipuzkoa,7.585,4
Girona,2020,776698,girona,12.6025,4
Granada,2020,921966,granada,23.775,4
Guadalajara,2020,262985,guadalajara,14.87,4
Huelva,2020,525333,huelva,20.5975,4
Huesca,2020,222767,huesca,10.7575,4
Jaen,2020,630524,jaen,23.995,4
Leon,2020,456697,leon,14.46,4
Lleida,2020,437508,lleida,9.3575,4
Lugo,2020,327573,lugo,8.787500000000001,4
Madrid,2020,6720310,madrid,12.4975,4
Malaga,2020,1683380,malaga,20.345,4
Murcia,2020,1509077,murcia,16.17,4
Navarra,2020,659907,navarra,10.055,4
Ourense,2020,306825,ourense,11.725,4
Palencia,2020,160357,palencia,11.42,4
Las Palmas,2020,1131195,las palmas,22.0425,4
Pontevedra,2020,946213,pontevedra,14.13,4
La Rioja,2020,318703,la rioja,10.8,4
Salamanca,2020,330834,salamanca,13.4675,4
Santa Cruz de Tenerife,2020,1045045,santa cruz de tenerife,23.3075,4
Segovia,2020,153641,segovia,9.145,4
Sevilla,2020,1947848,sevilla,22.0975,4
Soria,2020,89302,soria,8.7625,4
Tarragona,2020,815746,tarragona,15.2675,4
Teruel,2020,134085,teruel,10.585,4
Toledo,2020,704792,toledo,18.8375,4
Valencia,2020,2584654,valencia,15.285,4
Valladolid,2020,520904,valladolid,10.605,4
Zamora,2020,171301,zamora,13.185,4
Zaragoza,2020,973740,zaragoza,12.0625,4
Ceuta,2020,84502,ceuta,24.5175,4
Melilla,2020,86558,melilla,23.6075,4
Albacete,2021,386726,albacete,15.5275,4
Alacant,2021,1887036,alacant,18.705,4
Almeria,2021,730430,almeria,19.255000000000003,4
Araba,2021,333485,araba,11.365,4
Asturias,2021,1012117,asturias,12.335,4
Avila,2021,158898,avila,15.49,4
Badajoz,2021,671092,badajoz,20.5275,4
Illes Balears,2021,1183415,illes balears,14.435,4
Barcelona,2021,5702262,barcelona,11.3275,4
Bizkaia,2021,1153635,bizkaia,11.065,4
Burgos,2021,356042,burgos,9.63,4
Caceres,2021,390544,caceres,19.61,4
Cadiz,2021,1249873,cadiz,25.7925,4
Cantabria,2021,584708,cantabria,11.265,4
Castello,2021,587632,castello,13.8225,4
Ciudad Real,2021,492900,ciudad real,17.732499999999998,4
Cordoba,2021,777622,cordoba,21.0525,4
A Coruna,2021,1120501,a coruna,10.6,4
Cuenca,2021,196510,cuenca,12.1075,4
Gipuzkoa,2021,725508,gipuzkoa,8.615,4
Girona,2021,784941,girona,12.975,4
Granada,2021,925046,granada,22.63,4
Guadalajara,2021,265969,guadalajara,12.7475,4
Huelva,2021,527254,huelva,20.3775,4
Huesca,2021,223995,huesca,7.6175,4
Jaen,2021,627568,jaen,22.09,4
Leon,2021,452435,leon,13.6225,4
Lleida,2021,439258,lleida,11.2175,4
Lugo,2021,326068,lugo,8.8725,4
Madrid,2021,6726640,madrid,11.6875,4
Malaga,2021,1696955,malaga,20.4275,4
Murcia,2021,1518279,murcia,14.7225,4
Navarra,2021,662032,navarra,10.7125,4
Ourense,2021,305297,ourense,10.9475,4
Palencia,2021,159146,palencia,9.9925,4
Las Palmas,2021,1131359,las palmas,23.555,4
Pontevedra,2021,946311,pontevedra,13.7475,4
La Rioja,2021,319444,la rioja,11.605,4
Salamanca,2021,327735,salamanca,13.3375,4
Santa Cruz de Tenerife,2021,1047565,santa cruz de tenerife,23.4825,4
Segovia,2021,153626,segovia,9.36,4
Sevilla,2021,1950056,sevilla,22.045,4
Soria,2021,88796,soria,9.2025,4
Tarragona,2021,823435,tarragona,13.3625,4
Teruel,2021,134259,teruel,8.385,4
Toledo,2021,710400,toledo,16.4125,4
Valencia,2021,2593243,valencia,14.7125,4
Valladolid,2021,519380,valladolid,10.92,4
Zamora,2021,169165,zamora,11.24,4
Zaragoza,2021,973684,zaragoza,11.235,4
Ceuta,2021,84071,ceuta,30.85,4
Melilla,2021,86450,melilla,25.345,4
Albacete,2022,385967,albacete,12.8475,4
Alacant,2022,1907494,alacant,14.645,4
Almeria,2022,739541,almeria,17.15,4
Araba,2022,333908,araba,9.19,4
Asturias,2022,1004960,asturias,12.5125,4
Avila,2022,159102,avila,13.935,4
Badajoz,2022,667851,badajoz,17.6225,4
Illes Balears,2022,1187043,illes balears,10.735,4
Barcelona,2022,5699602,barcelona,9.925,4
Bizkaia,2022,1148677,bizkaia,9.41,4
Burgos,2022,354846,burgos,8.555,4
Caceres,2022,388957,caceres,16.7775,4
Cadiz,2022,1250545,cadiz,23.4675,4
Cantabria,2022,585450,cantabria,9.575,4
Castello,2022,591300,castello,12.1875,4
Ciudad Real,2022,490950,ciudad real,19.355,4
Cordoba,2022,775110,cordoba,19.4175,4
A Coruna,2022,1119164,a coruna,10.1,4
Cuenca,2022,196640,cuenca,9.6075,4
Gipuzkoa,2022,723241,gipuzkoa,7.87,4
Girona,2022,790432,girona,8.9575,4
Granada,2022,926019,granada,20.9575,4
Guadalajara,2022,268412,guadalajara,11.1725,4
Huelva,2022,531094,huelva,17.494999999999997,4
Huesca,2022,225199,huesca,9.42,4
Jaen,2022,624191,jaen,18.975,4
Leon,2022,449270,leon,10.63,4
Lleida,2022,440883,lleida,9.995,4
Lugo,2022,324240,lugo,9.125,4
Madrid,2022,6743254,madrid,11.215,4
Malaga,2022,1715109,malaga,18.4425,4
Murcia,2022,1529658,murcia,13.585,4
Navarra,2022,664514,navarra,9.735,4
Ourense,2022,304223,ourense,11.4875,4
Palencia,2022,157993,palencia,9.5075,4
Las Palmas,2022,1133733,las palmas,17.32,4
Pontevedra,2022,945198,pontevedra,12.6575,4
La Rioja,2022,319617,la rioja,9.55,4
Salamanca,2022,326285,salamanca,11.2225,4
Santa Cruz de Tenerife,2022,1051874,santa cruz de tenerife,18.005000000000003,4
Segovia,2022,153731,segovia,8.2725,4
Sevilla,2022,1949558,sevilla,17.3875,4
Soria,2022,88330,soria,8.1,4
Tarragona,2022,830906,tarragona,11.395,4
Teruel,2022,134132,teruel,8.94,4
Toledo,2022,716309,toledo,15.185,4
Valencia,2022,2609322,valencia,12.5525,4
Valladolid,2022,518158,valladolid,8.5375,4
Zamora,2022,167868,zamora,12.385,4
Zaragoza,2022,968884,zaragoza,9.76,4
Ceuta,2022,83051,ceuta,29.8525,4
Melilla,2022,84932,melilla,25.9025,4
Albacete,2023,387529,albacete,11.9575,4
Alacant,2023,1955268,alacant,13.3925,4
Almeria,2023,753364,almeria,15.972499999999998,4
Araba,2023,336308,araba,7.2025,4
Asturias,2023,1006060,asturias,12.1225,4
Avila,2023,159764,avila,11.635,4
Badajoz,2023,666049,badajoz,18.675,4
Illes Balears,2023,1209906,illes balears,10.48,4
Barcelona,2023,5797356,barcelona,9.12,4
Bizkaia,2023,1153282,bizkaia,8.05,4
Burgos,2023,357370,burgos,7.717499999999999,4
Caceres,2023,388257,caceres,14.94,4
Cadiz,2023,1254866,cadiz,22.255,4
Cantabria,2023,588387,cantabria,8.1425,4
Castello,2023,604086,castello,14.7575,4
Ciudad Real,2023,491927,ciudad real,16.475,4
Cordoba,2023,775002,cordoba,18.4075,4
A Coruna,2023,1123884,a coruna,9.1025,4
Cuenca,2023,198436,cuenca,11.4075,4
Gipuzkoa,2023,726712,gipuzkoa,7.465,4
Girona,2023,808672,girona,9.9575,4
Granada,2023,934072,granada,20.5075,4
Guadalajara,2023,275082,guadalajara,9.865,4
Huelva,2023,534084,huelva,18.3275,4
Huesca,2023,226878,huesca,8.4475,4
Jaen,2023,620637,jaen,18.4725,4
Leon,2023,448573,leon,10.1325,4
Lleida,2023,447343,lleida,7.592499999999999,4
Lugo,2023,324267,lugo,8.219999999999999,4
Madrid,2023,6871903,madrid,9.955,4
Malaga,2023,1752728,malaga,16.822499999999998,4
Murcia,2023,1551692,murcia,12.775,4
Navarra,2023,672155,navarra,9.945,4
Ourense,2023,304563,ourense,9.57,4
Palencia,2023,157787,palencia,8.735,4
Las Palmas,2023,1145843,las palmas,15.0475,4
Pontevedra,2023,946710,pontevedra,10.9925,4
La Rioja,2023,322282,la rioja,9.375,4
Salamanca,2023,327089,salamanca,10.82,4
Santa Cruz de Tenerife,2023,1067173,santa cruz de tenerife,17.2425,4
Segovia,2023,155332,segovia,8.065,4
Sevilla,2023,1959394,sevilla,16.7325,4
Soria,2023,89528,soria,7.785,4
Tarragona,2023,848592,tarragona,11.275,4
Teruel,2023,135046,teruel,9.3925,4
Toledo,2023,731112,toledo,13.64,4
Valencia,2023,2656841,valencia,11.97,4
Valladolid,2023,521333,valladolid,9.3725,4
Zamora,2023,166927,zamora,13.6375,4
Zaragoza,2023,979365,zaragoza,8.4975,4
Ceuta,2023,83052,ceuta,29.98,4
Melilla,2023,85493,melilla,26.6325,4
Albacete,2024,389070,albacete,11.315,4
Alacant,2024,1993289,alacant,13.64,4
Almeria,2024,760964,almeria,15.285,4
Araba,2024,338594,araba,8.567499999999999,4
Asturias,2024,1009599,asturias,10.135,4
Avila,2024,160463,avila,11.1425,4
Badajoz,2024,666029,badajoz,15.395,4
Illes Balears,2024,1231768,illes balears,9.45,4
Barcelona,2024,5877672,barcelona,8.4525,4
Bizkaia,2024,1159368,bizkaia,8.98,4
Burgos,2024,359740,burgos,6.9275,4
Caceres,2024,388652,caceres,15.7125,4
Cadiz,2024,1258730,cadiz,20.9725,4
Cantabria,2024,590851,cantabria,7.8475,4
Castello,2024,615188,castello,13.6525,4
Ciudad Real,2024,492948,ciudad real,16.9225,4
Cordoba,2024,774313,cordoba,16.6175,4
A Coruna,2024,1128449,a coruna,7.98,4
Cuenca,2024,199025,cuenca,10.495,4
Gipuzkoa,2024,729722,gipuzkoa,6.3575,4
Girona,2024,821108,girona,9.4675,4
Granada,2024,939741,granada,21.435,4
Guadalajara,2024,280225,guadalajara,10.875,4
Huelva,2024,535734,huelva,15.125,4
Huesca,2024,228519,huesca,9.13,4
Jaen,2024,619055,jaen,19.335,4
Leon,2024,447802,leon,9.6125,4
Lleida,2024,451707,lleida,6.635,4
Lugo,2024,325048,lugo,7.09,4
Madrid,2024,7009268,madrid,8.975,4
Malaga,2024,1774701,malaga,13.56,4
Murcia,2024,1568492,murcia,12.7325,4
Navarra,2024,678333,navarra,7.64,4
Ourense,2024,304467,ourense,10.98,4
Palencia,2024,158063,palencia,7.0,4
Las Palmas,2024,1159890,las palmas,14.015,4
Pontevedra,2024,947869,pontevedra,11.2775,4
La Rioja,2024,324184,la rioja,9.745,4
Salamanca,2024,327552,salamanca,11.8475,4
Santa Cruz de Tenerife,2024,1078864,santa cruz de tenerife,13.48,4
Segovia,2024,156620,segovia,6.6925,4
Sevilla,2024,1968624,sevilla,13.9525,4
Soria,2024,90073,soria,6.34,4
Tarragona,2024,861744,tarragona,12.6975,4
Teruel,2024,135309,teruel,7.197500000000001,4
Toledo,2024,743165,toledo,13.87,4
Valencia,2024,2710808,valencia,11.7025,4
Valladolid,2024,525116,valladolid,10.005,4
Zamora,2024,166253,zamora,12.88,4
Zaragoza,2024,987763,zaragoza,8.045,4
Ceuta,2024,83179,ceuta,27.4075,4
Melilla,2024,85985,melilla,28.315,4
